key,context,en,en-GB,de,fr,es,ja,zh,it,pt,pt-BR,ca,gl,ro,nl,da,no,sv,fi,pl,cs,sk,ru,uk,be,bg,sr,lv,hu,ko,zh-TW,th,vi,id,ms,km,ta,si,ar,fa,he,am,bn,ne,sa,ka,kab,el,tr,uz,sq,ga
common.enabled,Dropdown option: the feature is on. Used by several toggles.,Enabled,Enabled,Aktiviert,Activé,Activado,有効,启用,Attivato,Ativado,Ativado,Activat,Activado,Activat,Ingeschakeld,Aktiveret,Aktivert,Aktiverad,Käytössä,Włączone,Povoleno,Zapnuté,Включено,Увімкнено,Уключана,Включено,Омогућено,Ieslēgts,Bekapcsolva,활성화,啟用,เปิดใช้งาน,Đã bật,Aktif,Dihidupkan,បានបើក,இயக்கப்பட்டது,සක්‍රියයි,مفعّل,فعال,מופעל,ነቅቷል,সক্রিয়,सक्षम,प्रवर्तितम्,ჩართული,Yermed,Ενεργό,Etkin,Yoqilgan,Aktivizuar,Cumasaithe
common.disabled,Dropdown option: the feature is off. Used by several toggles.,Disabled,Disabled,Deaktiviert,Désactivé,Desactivado,無効,禁用,Disattivato,Desativado,Desativado,Desactivat,Desactivado,Dezactivat,Uitgeschakeld,Deaktiveret,Deaktivert,Inaktiverad,Ei käytössä,Wyłączone,Zakázáno,Vypnuté,Отключено,Вимкнено,Выключана,Изключено,Онемогућено,Izslēgts,Kikapcsolva,비활성화,停用,ปิดใช้งาน,Đã tắt,Nonaktif,Dimatikan,បានបិទ,முடக்கப்பட்டது,අක්‍රියයි,معطّل,غیرفعال,מושבת,ጠፍቷል,নিষ্ক্রিয়,असक्षम,निवर्तितम्,გამორთული,Yensa,Ανενεργό,Devre dışı,Oʻchirilgan,Çaktivizuar,Díchumasaithe
common.close,Button that dismisses a dialog.,Close,Close,Schließen,Fermer,Cerrar,閉じる,关闭,Chiudi,Fechar,Fechar,Tanca,Pechar,Închide,Sluiten,Luk,Lukk,Stäng,Sulje,Zamknij,Zavřít,Zavrieť,Закрыть,Закрити,Закрыць,Затваряне,Затвори,Aizvērt,Bezárás,닫기,關閉,ปิด,Đóng,Tutup,Tutup,បិទ,மூடு,වසන්න,إغلاق,بستن,סגירה,ዝጋ,বন্ধ করুন,बन्द गर्नुहोस्,पिधानम्,დახურვა,Mdel,Κλείσιμο,Kapat,Yopish,Mbyll,Dún
settings.support.name,Section heading above the donation link and the licence controls.,Support development,Support development,Entwicklung unterstützen,Soutenir le développement,Apoyar el desarrollo,開発を支援,支持开发,Sostieni lo sviluppo,Apoiar o desenvolvimento,Apoiar o desenvolvimento,Dona suport al desenvolupament,Apoiar o desenvolvemento,Susține dezvoltarea,Ontwikkeling steunen,Støt udviklingen,Støtt utviklingen,Stöd utvecklingen,Tue kehitystä,Wesprzyj rozwój,Podpořit vývoj,Podporiť vývoj,Поддержать разработку,Підтримати розробку,Падтрымаць распрацоўку,Подкрепете разработката,Подржи развој,Atbalstīt izstrādi,Fejlesztés támogatása,개발 후원,支持開發,สนับสนุนการพัฒนา,Ủng hộ phát triển,Dukung pengembangan,Sokong pembangunan,គាំទ្រការអភិវឌ្ឍ,உருவாக்கத்தை ஆதரிக்கவும்,සංවර්ධනයට සහාය වන්න,دعم التطوير,حمایت از توسعه,תמיכה בפיתוח,ልማትን መደገፍ,উন্নয়নে সহায়তা,विकासलाई सहयोग,विकासस्य साहाय्यम्,განვითარების მხარდაჭერა,Ɛiwen asnerni,Υποστήριξη της ανάπτυξης,Geliştirmeyi destekle,Rivojlanishni qoʻllab-quvvatlash,Mbështet zhvillimin,Tacaigh leis an bhforbairt
settings.support.blurb,Sentence introducing the donation link below it.,"If you find this plugin useful, consider supporting its development:","If you find this plugin useful, consider supporting its development:","Wenn dieses Plugin nützlich ist, unterstütze gern seine Entwicklung:","Si ce plugin vous est utile, envisagez de soutenir son développement :","Si este plugin te resulta útil, considera apoyar su desarrollo:",このプラグインが役に立ったら、開発の支援をご検討ください：,如果这个插件对你有用，欢迎支持它的开发：,"Se questo plugin ti è utile, valuta di sostenerne lo sviluppo:","Se este plugin lhe for útil, considere apoiar o seu desenvolvimento:","Se este plugin for útil para você, considere apoiar o desenvolvimento dele:","Si aquest plugin et resulta útil, considera donar suport al seu desenvolupament:","Se este plugin che resulta útil, considera apoiar o seu desenvolvemento:","Dacă acest plugin îți este util, ia în calcul să îi susții dezvoltarea:","Als deze plug-in nuttig voor je is, overweeg dan de ontwikkeling ervan te steunen:","Hvis du finder dette plugin nyttigt, kan du overveje at støtte udviklingen:","Hvis du har nytte av dette tillegget, vurder å støtte utviklingen av det:",Om du har nytta av det här tillägget kan du överväga att stödja utvecklingen:,"Jos tästä laajennuksesta on sinulle hyötyä, harkitse sen kehityksen tukemista:","Jeśli ta wtyczka jest przydatna, rozważ wsparcie jej rozwoju:","Pokud je pro vás tento plugin užitečný, zvažte podporu jeho vývoje:","Ak je pre vás tento doplnok užitočný, zvážte podporu jeho vývoja:","Если плагин оказался полезен, поддержите его разработку:","Якщо цей плагін вам корисний, підтримайте його розробку:","Калі гэты плагін вам карысны, падтрымайце яго распрацоўку:","Ако тази приставка ви е полезна, подкрепете разработката ѝ:","Ако вам је овај додатак користан, размислите о подршци његовом развоју:","Ja šis spraudnis ir noderīgs, apsveriet tā izstrādes atbalstīšanu:","Ha hasznosnak találod ezt a bővítményt, fontold meg a fejlesztés támogatását:",이 플러그인이 유용하다면 개발을 후원해 주세요:,如果這個外掛對你有幫助，歡迎支持它的開發：,หากปลั๊กอินนี้มีประโยชน์ ขอเชิญสนับสนุนการพัฒนา:,"Nếu bạn thấy plugin này hữu ích, hãy cân nhắc ủng hộ việc phát triển nó:","Jika plugin ini bermanfaat, pertimbangkan untuk mendukung pengembangannya:","Jika pemalam ini berguna kepada anda, pertimbangkanlah untuk menyokong pembangunannya:",បើអ្នកយល់ថាកម្មវិធីជំនួយនេះមានប្រយោជន៍ សូមពិចារណាគាំទ្រការអភិវឌ្ឍរបស់វា៖,"இந்தச் செருகுநிரல் பயனுள்ளதாக இருந்தால், அதன் உருவாக்கத்தை ஆதரிக்கக் கருதுங்கள்:","මෙම ප්ලගිනය ඔබට ප්‍රයෝජනවත් නම්, එහි සංවර්ධනයට සහාය දීම ගැන සලකා බලන්න:",إذا وجدت هذه الإضافة مفيدة، ففكّر في دعم تطويرها:,اگر این افزونه برایتان مفید است، از توسعهٔ آن حمایت کنید:,"אם התוסף הזה מועיל לך, שקול לתמוך בפיתוחו:",ይህ ተሰኪ ጠቃሚ ሆኖ ካገኙት፣ ልማቱን መደገፍ ያስቡበት፦,এই প্লাগইনটি কাজে লাগলে এর উন্নয়নে সহায়তা করার কথা ভাবুন:,यो प्लगइन उपयोगी लागेमा यसको विकासमा सहयोग गर्ने विचार गर्नुहोस्:,"यदि इदं संयोजकं भवतः उपयोगाय भवति, तर्हि अस्य विकासे साहाय्यं चिन्तयतु:","თუ ეს მოდული თქვენთვის სასარგებლოა, დაუჭირეთ მხარი მის განვითარებას:","Ma yella asiɣzef-agi yesɛa azal ɣur-k, xemmem ad tɛiwneḍ asnerni-ines:","Αν σας φαίνεται χρήσιμο αυτό το πρόσθετο, σκεφτείτε να στηρίξετε την ανάπτυξή του:",Bu eklentiyi yararlı buluyorsanız geliştirilmesine destek olmayı düşünün:,"Bu plagin sizga foydali boʻlsa, uning rivojlanishini qoʻllab-quvvatlashni oʻylab koʻring:","Nëse kjo shtojcë ju duket e dobishme, mendoni ta mbështetni zhvillimin e saj:","Má tá an breiseán seo úsáideach duit, smaoinigh ar thacú lena fhorbairt:"
settings.support.mission,Italic line under the donation blurb. Starts with an ellipsis because it continues the sentence above it.,…and help seed a bigger vision: technology that serves people and planet..,…and help seed a bigger vision: technology that serves people and planet..,"…und hilf, eine größere Vision zu säen: Technik, die Mensch und Planet dient.",…et contribuez à semer une vision plus large : une technologie au service des personnes et de la planète.,…y ayuda a sembrar una visión más amplia: tecnología al servicio de las personas y del planeta.,……そして、より大きなビジョンの種まきにご協力を：人と地球に役立つ技術へ。,……并帮助播下更大的愿景：服务于人与地球的技术。,…e aiuta a seminare una visione più ampia: una tecnologia al servizio delle persone e del pianeta.,…e ajude a semear uma visão maior: tecnologia ao serviço das pessoas e do planeta.,…e ajude a semear uma visão maior: tecnologia a serviço das pessoas e do planeta.,…i ajuda a sembrar una visió més àmplia: tecnologia al servei de les persones i del planeta.,…e axuda a sementar unha visión máis ampla: tecnoloxía ao servizo das persoas e do planeta.,…și ajută la semănarea unei viziuni mai ample: tehnologie în slujba oamenilor și a planetei.,…en help een grotere visie zaaien: techniek die mens en planeet dient.,…og hjælp med at så en større vision: teknologi i menneskets og klodens tjeneste.,…og bidra til å så en større visjon: teknologi i menneskets og klodens tjeneste.,…och hjälp till att så en större vision: teknik i människans och planetens tjänst.,"…ja auta kylvämään suurempaa visiota: teknologiaa, joka palvelee ihmisiä ja planeettaa.","…i pomóż zasiać większą wizję: technologię, która służy ludziom i planecie.","…a pomozte zasít větší vizi: technologii, která slouží lidem i planetě.","…a pomôžte zasiať väčšiu víziu: technológiu, ktorá slúži ľuďom aj planéte.",…и помогите взрастить более широкую идею: технологию на службе людей и планеты.,"…і допоможіть посіяти ширше бачення: технології, що служать людям і планеті.",…і дапамажыце пасеяць большае бачанне: тэхналогію на службе людзей і планеты.,…и помогнете да покълне по-голяма визия: технология в услуга на хората и планетата.,…и помозите да никне већа визија: технологија у служби људи и планете.,"…un palīdziet iesēt lielāku vīziju: tehnoloģiju, kas kalpo cilvēkiem un planētai.","…és segíts elvetni egy nagyobb víziót: technológiát, amely az embereket és a bolygót szolgálja.",…그리고 더 큰 비전에 씨앗을 심어 주세요. 사람과 지구를 위한 기술.,……並一起播下更大的願景：服務人與地球的科技。,…และช่วยหว่านวิสัยทัศน์ที่ใหญ่กว่า: เทคโนโลยีที่รับใช้ผู้คนและโลก,…và góp phần gieo một tầm nhìn lớn hơn: công nghệ phục vụ con người và hành tinh.,…dan bantu menyemai visi yang lebih besar: teknologi yang melayani manusia dan bumi.,…dan bantulah menyemai wawasan yang lebih besar: teknologi yang berkhidmat kepada manusia dan bumi.,…និងជួយបណ្ដុះចក្ខុវិស័យធំជាងនេះ៖ បច្ចេកវិទ្យាដែលបម្រើមនុស្សនិងភពផែនដី។,…மேலும் ஒரு பெரிய கனவை விதைக்க உதவுங்கள்: மக்களுக்கும் புவிக்கும் சேவை செய்யும் தொழில்நுட்பம்.,…සහ විශාල දැක්මක් වපුරන්නට උදව් වන්න: මිනිසාටත් පෘථිවියටත් සේවය කරන තාක්ෂණය.,…وساعد في زرع رؤية أكبر: تقنية تخدم الناس والكوكب..,…و به پرورش چشم‌اندازی بزرگ‌تر کمک کنید: فناوری‌ای در خدمت مردم و کرهٔ زمین..,…ולעזור לזרוע חזון גדול יותר: טכנולוגיה שמשרתת אנשים וכדור הארץ..,…እና ትልቅ ራእይ ለመዝራት ያግዙ፦ ሰውንና ፕላኔቷን የምታገለግል ቴክኖሎጂ።,…এবং একটি বড় স্বপ্নের বীজ বুনতে সাহায্য করুন: প্রযুক্তি যা মানুষ ও গ্রহের সেবা করে।,…र ठूलो सपनाको बीउ छर्न मद्दत गर्नुहोस्: मानिस र पृथ्वीको सेवा गर्ने प्रविधि।,…बृहत्तरस्य स्वप्नस्य बीजवपने च साहाय्यं करोतु: या प्रौद्योगिकी जनान् पृथिवीं च सेवते।,"…და დაეხმარეთ უფრო დიდი ხედვის დათესვას: ტექნოლოგია, რომელიც ემსახურება ადამიანებსა და პლანეტას.",…tɛiwneḍ daɣen ad nezreɛ tamuɣli tameqqrant: tatiknulujit i iqeddcen ɣef yemdanen d umtiweg.,…και βοηθήστε να σπείρουμε ένα μεγαλύτερο όραμα: τεχνολογία που υπηρετεί τους ανθρώπους και τον πλανήτη.,…ve daha büyük bir vizyonu ekmeye yardım edin: insana ve gezegene hizmet eden teknoloji.,…va kattaroq orzuni ekishga yordam bering: insonga va sayyoraga xizmat qiladigan texnologiya.,…dhe ndihmoni të mbillet një vizion më i gjerë: teknologji që u shërben njerëzve dhe planetit.,…agus cuidigh le fís níos mó a chur: teicneolaíocht a fhreastalaíonn ar dhaoine agus ar an bpláinéad.
settings.support.license.label,Label beside the button that opens the licence and disclaimer text.,License & disclaimer,Licence & disclaimer,Lizenz & Haftungsausschluss,Licence et avertissement,Licencia y descargo de responsabilidad,ライセンスと免責事項,许可与免责声明,Licenza e avvertenze,Licença e aviso legal,Licença e aviso legal,Llicència i avís legal,Licenza e aviso legal,Licență și declinarea responsabilității,Licentie en disclaimer,Licens og ansvarsfraskrivelse,Lisens og ansvarsfraskrivelse,Licens och ansvarsfriskrivning,Lisenssi ja vastuuvapauslauseke,Licencja i zastrzeżenia,Licence a vyloučení odpovědnosti,Licencia a vylúčenie zodpovednosti,Лицензия и отказ от ответственности,Ліцензія та відмова від відповідальності,Ліцэнзія і адмова ад адказнасці,Лиценз и отказ от отговорност,Лиценца и одрицање одговорности,Licence un atruna,Licenc és jogi nyilatkozat,라이선스 및 면책 조항,授權與免責聲明,สัญญาอนุญาตและข้อปฏิเสธความรับผิด,Giấy phép và tuyên bố miễn trừ,Lisensi dan penafian,Lesen dan penafian,អាជ្ញាបណ្ណនិងសេចក្ដីបដិសេធ,உரிமம் மற்றும் மறுப்புரை,බලපත්‍රය සහ වගකීමෙන් බැහැරවීම,الترخيص وإخلاء المسؤولية,مجوز و سلب مسئولیت,רישיון וכתב ויתור,ፈቃድና የኃላፊነት ማስተባበያ,লাইসেন্স ও দাবিত্যাগ,इजाजतपत्र र अस्वीकरण,अनुज्ञापत्रं दायित्वत्यागश्च,ლიცენზია და პასუხისმგებლობის უარყოფა,Turagt & tukksa n tmasit,Άδεια & αποποίηση ευθύνης,Lisans ve sorumluluk reddi,Litsenziya va masʼuliyatdan voz kechish,Licenca & shfajësimi,Ceadúnas & séanadh
settings.support.license.viewTooltip,Tooltip on the eye button that opens the licence and disclaimer text.,View license & disclaimer,View licence & disclaimer,Lizenz & Haftungsausschluss anzeigen,Afficher la licence et l'avertissement,Ver licencia y descargo de responsabilidad,ライセンスと免責事項を表示,查看许可与免责声明,Visualizza licenza e avvertenze,Ver licença e aviso legal,Ver licença e aviso legal,Mostra la llicència i l'avís legal,Ver a licenza e o aviso legal,Vezi licența și declinarea responsabilității,Licentie en disclaimer bekijken,Vis licens og ansvarsfraskrivelse,Vis lisens og ansvarsfraskrivelse,Visa licens och ansvarsfriskrivning,Näytä lisenssi ja vastuuvapauslauseke,Pokaż licencję i zastrzeżenia,Zobrazit licenci a vyloučení odpovědnosti,Zobraziť licenciu a vylúčenie zodpovednosti,Показать лицензию и отказ от ответственности,Переглянути ліцензію та відмову від відповідальності,Паказаць ліцэнзію і адмову ад адказнасці,Преглед на лиценза и отказа от отговорност,Прикажи лиценцу и одрицање одговорности,Skatīt licenci un atrunu,Licenc és jogi nyilatkozat megtekintése,라이선스 및 면책 조항 보기,檢視授權與免責聲明,ดูสัญญาอนุญาตและข้อปฏิเสธความรับผิด,Xem giấy phép và tuyên bố miễn trừ,Lihat lisensi dan penafian,Papar lesen dan penafian,មើលអាជ្ញាបណ្ណនិងសេចក្ដីបដិសេធ,உரிமத்தையும் மறுப்புரையையும் காண்க,බලපත්‍රය සහ වගකීමෙන් බැහැරවීම බලන්න,عرض الترخيص وإخلاء المسؤولية,نمایش مجوز و سلب مسئولیت,הצגת רישיון וכתב ויתור,ፈቃድና የኃላፊነት ማስተባበያ ይመልከቱ,লাইসেন্স ও দাবিত্যাগ দেখুন,इजाजतपत्र र अस्वीकरण हेर्नुहोस्,अनुज्ञापत्रं दायित्वत्यागं च पश्यतु,ლიცენზიისა და პასუხისმგებლობის უარყოფის ნახვა,Wali turagt & tukksa n tmasit,Προβολή άδειας & αποποίησης ευθύνης,Lisansı ve sorumluluk reddini görüntüle,Litsenziya va masʼuliyatdan voz kechishni koʻrish,Shfaq licencën & shfajësimin,Féach ar an gceadúnas & an séanadh
settings.support.license.acceptLabel,Label beside the toggle the user turns on to accept the licence. Everything else in the settings tab stays disabled until it is on.,Accept license & disclaimer,Accept licence & disclaimer,Lizenz & Haftungsausschluss akzeptieren,Accepter la licence et l'avertissement,Aceptar licencia y descargo de responsabilidad,ライセンスと免責事項に同意する,接受许可与免责声明,Accetta licenza e avvertenze,Aceitar licença e aviso legal,Aceitar licença e aviso legal,Accepta la llicència i l'avís legal,Aceptar a licenza e o aviso legal,Acceptă licența și declinarea responsabilității,Licentie en disclaimer accepteren,Accepter licens og ansvarsfraskrivelse,Godta lisens og ansvarsfraskrivelse,Godkänn licens och ansvarsfriskrivning,Hyväksy lisenssi ja vastuuvapauslauseke,Akceptuję licencję i zastrzeżenia,Přijímám licenci a vyloučení odpovědnosti,Prijímam licenciu a vylúčenie zodpovednosti,Принимаю лицензию и отказ от ответственности,Приймаю ліцензію та відмову від відповідальності,Прымаю ліцэнзію і адмову ад адказнасці,Приемам лиценза и отказа от отговорност,Прихватам лиценцу и одрицање одговорности,Pieņemu licenci un atrunu,Elfogadom a licencet és a jogi nyilatkozatot,라이선스 및 면책 조항 동의,接受授權與免責聲明,ยอมรับสัญญาอนุญาตและข้อปฏิเสธความรับผิด,Chấp nhận giấy phép và tuyên bố miễn trừ,Terima lisensi dan penafian,Terima lesen dan penafian,ទទួលយកអាជ្ញាបណ្ណនិងសេចក្ដីបដិសេធ,உரிமத்தையும் மறுப்புரையையும் ஏற்கவும்,බලපත්‍රය සහ වගකීමෙන් බැහැරවීම පිළිගන්න,الموافقة على الترخيص وإخلاء المسؤولية,پذیرش مجوز و سلب مسئولیت,אישור רישיון וכתב ויתור,ፈቃድና የኃላፊነት ማስተባበያ ተቀበል,লাইসেন্স ও দাবিত্যাগ গ্রহণ করুন,इजाजतपत्र र अस्वीकरण स्वीकार गर्नुहोस्,अनुज्ञापत्रं दायित्वत्यागं च स्वीकरोतु,ლიცენზიისა და პასუხისმგებლობის უარყოფის მიღება,Qbel turagt & tukksa n tmasit,Αποδοχή άδειας & αποποίησης ευθύνης,Lisansı ve sorumluluk reddini kabul et,Litsenziya va masʼuliyatdan voz kechishni qabul qilish,Prano licencën & shfajësimin,Glac leis an gceadúnas & leis an séanadh
settings.support.readme.viewTooltip,Tooltip on the eye button that opens the plugin's README document.,View readme,View readme,Readme anzeigen,Afficher le readme,Ver el readme,README を表示,查看 README,Visualizza il readme,Ver o readme,Ver o readme,Mostra el readme,Ver o readme,Vezi readme,Readme bekijken,Vis readme,Vis readme,Visa readme,Näytä readme,Pokaż readme,Zobrazit readme,Zobraziť readme,Показать readme,Переглянути readme,Паказаць readme,Преглед на readme,Прикажи readme,Skatīt readme,Readme megtekintése,README 보기,檢視 README,ดู README,Xem README,Lihat README,Papar README,មើល README,README ஐக் காண்க,README බලන්න,عرض ملف README,نمایش README,הצגת README,README ይመልከቱ,readme দেখুন,readme हेर्नुहोस्,readme पश्यतु,readme-ის ნახვა,Wali readme,Προβολή readme,Readme'yi görüntüle,readme faylini koʻrish,Shfaq readme,Féach ar an readme
